segment,rows,dates,lightgbm_wmae,patchtst_wmae,absolute_difference,patchtst_regret_pct,winner
Non-holiday,109621,37,1715.7000023165492,1722.376839736865,6.676837420315678,0.3891611243982407,LightGBM
Holiday,5967,2,1675.558638074586,1781.3734076015942,105.81476952700814,6.315193459812418,LightGBM
