scope,rows,row_share,lightgbm_wmae,patchtst_wmae,absolute_difference,patchtst_regret_pct,winner
All rows,115588,1.0,1707.1122212088235,1734.9984738167482,27.88625260792469,1.6335336518285892,LightGBM
PatchTST model rows,110680,0.9575388448627885,1753.917200805682,1773.6826707658065,19.76546996012462,1.1269328991724947,LightGBM
PatchTST fallback rows,4908,0.04246115513721147,665.3189295149108,873.9589600039826,208.64003048907182,31.359400917871504,LightGBM
