architecture,run_name,stage,tracker,feature_set,preprocessing,validation_id,data_version,evaluation_scope,forecast_strategy,series_count,random_seed,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,fit_seconds,predict_seconds,notes
dlinear,dlinear__tuning__target_only_v1__nlinear_l52__s42,tuning,mlflow,target_only_v1,per_series_zscore_windows_v1,expanding_3x13_holdout_39_v1,processed_v1,representative_series,global_channel_independent,30,42,1944.050354560001,383.730684310146,1841.5230616333872,1758.3389262726614,3665.371752163659,17.7750138760166,0.0019842909969156,"DLinear, winning config from 4 trials (lookback 52/26, NLinear, trend-kernel 25/51 ablations): nlinear_L52. Single global channel-independent linear model fit on 2672 gap-free series, scored on the 30 representative ones. Target history only (no exogenous inputs), per-series z-score windows, L1 loss. Holdout evaluated once."
dlinear,dlinear__tuning__target_only_v1__dlinear_revin_weighted__s42,tuning,mlflow,target_only_v1,per_series_zscore_revin_windows_v1,expanding_3x13_holdout_39_v1,processed_v1,representative_series,global_channel_independent,30,42,1889.5541773747016,337.38852754066784,1821.208180112582,1743.2579726677266,3572.7422140182907,5.302296706999186,0.0081848330009961,"DLinear, winning config from 6 trials (RevIN, metric-aligned loss, lookback 52/26, known-future covariates, NLinear reference): dlinear_revin_weighted. Single global channel-independent linear model fit on 2672 gap-free series, scored on the 30 representative ones. Target history only; a globally-shared known-future covariate head was tried and bought nothing. Per-series z-score + RevIN windows, weighted L1, early stopping (patience 5). Holdout evaluated once."
dlinear,dlinear__tuning__target_only_v1__dlinear_revin_weighted__s42,tuning,wandb,target_only_v1,per_series_zscore_revin_windows_v1,expanding_3x13_holdout_39_v1,processed_v1,representative_series,global_channel_independent,30,42,1889.5541773747016,337.38852754066784,1821.208180112582,1743.2579726677266,3572.7422140182907,5.397749001000193,0.0080098339822143,"DLinear, winning config from 6 trials (RevIN, metric-aligned loss, lookback 52/26, known-future covariates, NLinear reference): dlinear_revin_weighted. Single global channel-independent linear model fit on 2672 gap-free series, scored on the 30 representative ones. Target history only; a globally-shared known-future covariate head was tried and bought nothing. Per-series z-score + RevIN windows, weighted L1, early stopping (patience 5). Holdout evaluated once."
dlinear,dlinear__tuning__target_only_v1__dlinear_revin_weighted__s42,tuning,wandb,target_only_v1,per_series_zscore_revin_windows_v1,expanding_3x13_holdout_39_v1,processed_v1,representative_series,global_channel_independent,30,42,1889.5541773747018,337.38852754066784,1821.2081801125819,1743.2579726677266,3572.7422140182907,5.425189333982416,0.008542540992493741,"DLinear, winning config from 6 trials (RevIN, metric-aligned loss, lookback 52/26, known-future covariates, NLinear reference): dlinear_revin_weighted. Single global channel-independent linear model fit on 2672 gap-free series, scored on the 30 representative ones. Target history only; a globally-shared known-future covariate head was tried and bought nothing. Per-series z-score + RevIN windows, weighted L1, early stopping (patience 5). Holdout evaluated once."
