forecast_block,start_date,end_date,weeks,lightgbm_wmae,patchtst_wmae,absolute_difference,patchtst_regret_pct,winner
1,2012-02-03,2012-04-27,13,1796.1554980638343,1780.7481731001599,-15.407324963674455,-0.8577946052155672,PatchTST
2,2012-05-04,2012-07-27,13,1616.7629163055194,1649.054423564432,32.29150725891259,1.9972939095301845,LightGBM
3,2012-08-03,2012-10-26,13,1686.3450508423286,1754.4238921870956,68.07884134476694,4.037064734216855,LightGBM
