Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
15,44,"(1, 1, 2)",1650.0343174742068,684.1060854382653,564.0345415572344,393.5295651290404,419.25915033635573,520.0506280946186,0
10,50,"(0, 1, 2)",1531.3361466278916,352.18662584072223,50.39644753606211,469.8233123841324,399.5306585142107,488.6611507519598,0
12,36,"(0, 1, 2)",1733.1236953762054,1956.2526131315633,430.4465084071722,1358.7612565142458,1513.3629373551937,2179.117756401932,0
24,41,"(1, 1, 2)",1575.7922104354718,606.1404974548793,128.05159887892677,629.6488980566309,455.0013259699635,715.8723573594533,0
25,52,"(1, 1, 2)",1513.4312195139216,652.4402955092179,233.98070278628836,266.5976810981774,292.9588465265732,340.90809758500234,0
29,6,"(0, 1, 2)",1925.5879199751266,2346.263600411266,1480.3054797922136,1726.271645142754,1647.0255084842777,1816.8613745402922,0
17,52,"(0, 1, 2)",1602.355549409557,928.2178438957784,440.8693875763151,341.0507272072218,389.3554917625493,488.78550111152225,0
34,30,"(1, 1, 2)",1458.3345735221558,325.564065800691,47.777835656522086,355.17410754775267,363.785451058867,433.3609095666887,0
34,21,"(0, 1, 2)",1582.3064478583142,493.3094558503403,208.10293823259738,510.27538854714317,587.6122237563683,686.875744959707,0
15,59,"(1, 1, 2)",1474.4389583744648,327.96255079564077,114.46602135889239,273.64645091717836,283.5957660887993,289.9561336239506,0
3,24,"(1, 1, 2)",1675.3188428109218,1002.5572442258731,389.2841996726594,944.0372294382367,872.1586992172577,1203.1585716221764,0
30,7,"(0, 1, 2)",1291.512139605239,196.19748409443923,34.94774081160905,113.1609793407268,124.6923053919016,160.6611694457963,0
10,60,"(2, 1, 2)",1339.2015691029585,131.1886097258388,36.57772988535255,86.84927824011577,98.23102794776166,120.4006275840609,1
32,33,"(2, 1, 2)",1747.0701269116316,1087.8779136689102,868.4011239692406,1002.8868716998793,1061.0469720735314,1191.4603515043373,0
17,35,"(0, 1, 2)",1478.0387802495452,364.57769170478133,13.080722153903164,318.43623884701685,315.7010732841181,393.328150782779,0
33,17,"(0, 1, 2)",1197.7675880246586,59.16380898923001,3.9173637039062372,31.91551812515643,30.198701330316744,36.49341216394502,0
36,14,"(0, 1, 2)",1499.486750195333,408.8056801006716,162.97592410816273,244.20382734577984,218.82656477562668,257.84156049808877,0
2,36,"(0, 1, 2)",1711.9783525382295,1796.3411285056281,1112.1556475258203,1813.5854480040248,1940.5209245176711,2918.3368134417706,0
17,19,"(0, 1, 2)",1820.4117327190568,1372.5839954230635,130.09772956154669,1216.4826895154881,1279.5904725202258,2563.995386781529,0
27,28,"(2, 1, 2)",1359.1360259549915,330.3273647251201,27.56431153329497,255.56030621539523,249.1360737297345,287.2350787350493,0
10,56,"(0, 1, 2)",1577.473794865424,955.9358456015949,650.8908219320439,1203.8947681507414,1112.974720591919,1295.3167814039457,0
