model,rows,wmae,mae,rmse,mean_bias,median_absolute_error,p90_absolute_error,p95_absolute_error,p99_absolute_error,wmae_regret_pct
LightGBM,115588,1707.1122212088235,1713.6277844355252,3646.4236836161194,-291.1081438447384,709.4103279204135,4168.0021616555105,6564.3419855204575,14936.853918165672,0.0
PatchTST,115588,1734.9984738167482,1725.4224199047787,3695.119854636467,-453.17771443219345,708.4811499999998,4279.945800000003,6682.914249999999,14678.268780000046,1.6335336518285892
