Date,IsHoliday,WeightSum,LightGBMWeightedErrorSum,PatchTSTWeightedErrorSum,LightGBMWMAE,PatchTSTWMAE,PatchTSTMinusLightGBM,PatchTSTRegretPct,Winner
2012-02-03,False,2977.0,4782779.520224677,3713332.7520071,1606.5769298705668,1247.3405280507557,-359.23640181981114,-22.360361034734446,PatchTST
2012-02-10,True,15005.0,24732358.54955366,25709208.4340118,1648.2744784774181,1713.3761035662644,65.10162508884628,3.949683498647838,LightGBM
2012-02-17,False,3007.0,5152914.195356672,5473309.9046715,1713.6395727823983,1820.1895259965083,106.54995321411002,6.217757509013833,LightGBM
2012-02-24,False,2961.0,3833970.9285706896,4029804.9507998005,1294.823008635829,1360.9608074298549,66.13779879402591,5.107864036468257,LightGBM
2012-03-02,False,2990.0,4505910.183570521,4352347.8724923,1506.9933724316124,1455.63473996398,-51.35863246763233,-3.4080197967136683,PatchTST
2012-03-09,False,2974.0,4924954.55287908,4348275.44531729,1656.003548378978,1462.096652763043,-193.9068956159349,-11.709328509938622,PatchTST
2012-03-16,False,2964.0,4415675.701971963,4534931.0610892,1489.7691302199605,1530.003731811471,40.234601591510454,2.70072729897215,LightGBM
2012-03-23,False,2961.0,5058954.245717965,4940572.3985195,1708.5289583647298,1668.5485979464709,-39.9803604182589,-2.3400458167548432,PatchTST
2012-03-30,False,2961.0,5245911.407534344,5467819.3881582,1771.6688306431422,1846.6124242344479,74.94359359130567,4.230113003912805,LightGBM
2012-04-06,False,2983.0,9359709.3614841,9325871.8986744,3137.683326008749,3126.3398922810593,-11.343433727689899,-0.36152258048677277,PatchTST
2012-04-13,False,2977.0,5150964.933815773,5039433.69549,1730.25358878595,1692.789282999664,-37.46430578628588,-2.1652494194549288,PatchTST
2012-04-20,False,2975.0,7779561.146718915,7471595.0266607,2614.9785367122404,2511.4605131632607,-103.51802354897973,-3.958656719191689,PatchTST
2012-04-27,False,2954.0,6101661.313959329,5857841.3183822,2065.559009464905,1983.0200806981043,-82.53892876680084,-3.9959608216752485,PatchTST
2012-05-04,False,2955.0,4786322.775938697,4959542.03082674,1619.7369800130955,1678.3560172002503,58.619037187154845,3.6190466668656773,LightGBM
2012-05-11,False,2973.0,4723137.074368446,4521852.34700629,1588.677118859215,1520.9728715123747,-67.70424734684025,-4.261674480177369,PatchTST
2012-05-18,False,2953.0,5576263.398799458,4961281.3149795,1888.3384350827828,1680.0817185843212,-208.25671649846163,-11.028569488886763,PatchTST
2012-05-25,False,2941.0,4947877.984894388,5486694.221068,1682.37945763155,1865.5879704413467,183.20851280979673,10.88984485507909,LightGBM
2012-06-01,False,2943.0,4268914.449107105,4656778.3672379,1450.5315831148844,1582.3236042262658,131.79202111138147,9.085773977314581,LightGBM
2012-06-08,False,2960.0,5075477.874397094,5421555.8867223,1714.6884710800994,1831.6067184872636,116.91824740716424,6.81862912004747,LightGBM
2012-06-15,False,2956.0,4540083.536774891,4395755.507741041,1535.8875293555113,1487.0620797500137,-48.825449605497624,-3.1789729828710644,PatchTST
2012-06-22,False,2961.0,4943758.543805544,4925126.70583424,1669.6246348549626,1663.332220815346,-6.29241403961646,-0.3768759700987001,PatchTST
2012-06-29,False,2933.0,4590319.657558298,4614465.64996477,1565.0595491163647,1573.2920729508253,8.232523834460608,0.5260198462805343,LightGBM
2012-07-06,False,2961.0,5506262.753111738,5805623.7125482,1859.5956613008234,1960.6969647241472,101.10130342332377,5.4367358199040705,LightGBM
