block_length,bootstrap_samples,difference_median,difference_ci_lower,difference_ci_upper,probability_patchtst_better,relative_gap_median_pct,relative_gap_ci_lower_pct,relative_gap_ci_upper_pct,relative_gap_upper_95_pct,probability_within_2pct,noninferior_within_2pct
2,20000,27.317959301613087,-11.31238036797057,62.4461312636704,0.08285,1.6018462126926258,-0.6529769404269709,3.6990417298655682,3.3791473902561995,0.64215,False
4,20000,27.056248533217058,-10.780100236720704,64.15843656404783,0.0847,1.5854882378787516,-0.6224258725694165,3.8117915742279274,3.449366764841754,0.64205,False
6,20000,26.822879304802882,-10.004452488270704,65.9434205059803,0.08385,1.5753639499143102,-0.5684977923440284,3.9311684325654737,3.5699158731134486,0.63365,False
