Store,Dept,WeightSum,LightGBMWeightedErrorSum,PatchTSTWeightedErrorSum,MeanSales,LightGBMWMAE,PatchTSTWMAE,Difference,Winner
2,80,47.0,70391.96194965564,46236.93999999999,26128.695641025643,1497.7013180777797,983.7646808510635,-513.9366372267161,PatchTST
2,81,47.0,147467.31394658535,77664.558,31678.744615384618,3137.602424395433,1652.4374042553193,-1485.1650201401137,PatchTST
2,82,47.0,144399.99159078376,161146.43000000002,24144.962564102567,3072.3402466124203,3428.647446808511,356.3072001960909,LightGBM
2,83,47.0,34083.142800082955,19410.45429999999,6035.920256410256,725.1732510655947,412.98838936170193,-312.1848617038928,PatchTST
2,85,47.0,21546.066896475586,20342.218,2979.541794871795,458.4269552441614,432.81314893617025,-25.613806307991126,PatchTST
2,87,47.0,184121.4194130069,162568.91700000002,25571.88358974359,3917.477008787381,3458.913127659575,-458.56388112780587,PatchTST
2,90,47.0,201080.2519923605,201548.08200000002,99637.6535897436,4278.303233880011,4288.2570638297875,9.953829949776264,LightGBM
2,91,47.0,194301.01357648414,97353.82100000003,81664.65051282052,4134.064118648599,2071.357893617022,-2062.706225031577,PatchTST
2,92,47.0,412765.71560021664,261497.47000000006,169856.89256410254,8782.249268089716,5563.77595744681,-3218.4733106429057,PatchTST
2,93,47.0,340999.4039089253,194864.31200000003,75896.88538461538,7255.306466147347,4146.049191489363,-3109.2572746579845,PatchTST
2,94,47.0,207147.42030412995,170918.711,73130.33384615385,4407.391921364467,3636.5683191489366,-770.8236022155302,PatchTST
2,95,47.0,574699.9044830775,454468.6560000001,148525.77641025643,12227.657542193137,9669.545872340426,-2558.111669852711,PatchTST
2,96,47.0,234138.19182767603,191061.09499999997,36763.124615384615,4981.663655908001,4065.1296808510633,-916.5339750569374,PatchTST
2,97,47.0,109490.59404944768,79030.50399999996,41418.61615384615,2329.587107435057,1681.5000851063821,-648.087022328675,PatchTST
2,98,47.0,50950.75270190294,52324.01,13458.178974358974,1084.0585681255943,1113.2768085106384,29.218240385044055,LightGBM
2,99,33.0,20695.626692600115,22747.986100000002,220.6812,627.140202806064,689.3329121212122,62.192709315148136,LightGBM
3,1,47.0,73630.64339645393,97544.68100000001,8600.294358974359,1566.609433967105,2075.4187446808514,508.8093107137465,LightGBM
3,2,47.0,65647.88072049487,132406.39649999997,19317.669487179486,1396.763419584997,2817.157372340425,1420.3939527554278,LightGBM
3,3,47.0,57580.86032220661,67769.90049999999,6636.809743589743,1225.1246877065237,1441.9127765957444,216.78808888922072,LightGBM
3,4,47.0,33639.031595789165,51164.71270000001,9268.510256410256,715.7240765061524,1088.6109085106386,372.8868320044862,LightGBM
3,5,47.0,182921.30768421476,167878.7252,13856.224871794871,3891.9427166854202,3571.8877702127656,-320.0549464726546,PatchTST
3,6,47.0,23696.10890561137,20097.960600000002,1797.4064102564105,504.1725299066249,427.61618297872343,-76.55634692790147,PatchTST
3,7,47.0,56021.08707457743,102504.4526,9594.806666666667,1191.9380228633495,2180.9458,989.0077771366505,LightGBM
3,8,47.0,22945.678548062973,36211.59720000001,8878.128205128205,488.20592655453135,770.4595148936172,282.25358833908587,LightGBM
3,9,47.0,105888.63824207206,95601.16699999999,11110.816153846154,2252.9497498313203,2034.0673829787231,-218.88236685259722,PatchTST
3,10,47.0,108271.2581548717,135908.17200000002,13483.35205128205,2303.643790529185,2891.6632340425535,588.0194435133685,LightGBM
3,11,47.0,97716.74567582327,117291.725,11319.678461538462,2079.0796952302826,2495.5686170212766,416.488921790994,LightGBM
3,12,47.0,16521.221322955927,14780.672899999998,2710.14358974359,351.51534729693464,314.48240212765955,-37.03294516927508,PatchTST
3,13,47.0,68473.45049499578,70450.8145,12335.652820512822,1456.881925425442,1498.9534999999998,42.07157457455787,LightGBM
3,14,47.0,42905.79663956309,42168.2061,4871.291794871795,912.88929020347,897.1958744680852,-15.693415735384747,PatchTST
3,16,47.0,109855.71023870546,99390.24599999998,10312.094358974358,2337.355536993733,2114.6860851063825,-222.66945188735053,PatchTST
3,17,47.0,17816.22320874977,21983.665699999998,2607.55358974359,379.06857890956957,467.7375680851063,88.66898917553675,LightGBM
3,18,39.0,23069.315719397066,38690.750936000004,1383.8480645161292,591.5209158819761,992.0705368205129,400.5496209385368,LightGBM
3,19,47.0,10367.115676363097,9810.21845,576.8715384615385,220.5769292843212,208.7280521276596,-11.848877156661615,PatchTST
3,20,47.0,31839.51173767798,23319.0584,2185.9102564102564,677.4364199505953,496.1501787234043,-181.28624122719106,PatchTST
