model,weeks_won,weekly_win_rate,mean_weekly_wmae,median_weekly_wmae,weekly_wmae_std,p90_weekly_wmae,p95_weekly_wmae,worst_week_wmae
LightGBM,24,0.6153846153846154,1713.2116734304682,1647.4901803355913,317.3930060911235,1922.65091767345,2120.5009621896393,3137.683326008749
PatchTST,15,0.38461538461538464,1725.093885732598,1664.1953413642138,314.36057100415934,1975.02073905991,2061.343595455141,3126.3398922810593
